name,alpha,max_iter,J_train,J_test
w1d1t1,0.1,3000,980107709.2453374,1043433186.5213739
w1d1t2,0.1,3000,980096590.5772433,1043674064.158287
w1d1t3,0.1,3000,980095035.4508,1043690378.8336027
w1d1t4,0.1,3000,980095250.5634103,1043686938.8352534
w1d2t1,0.1,30000,282747991.1987739,288590973.2317881
w1d2t2,0.1,30000,282743484.54922575,288541529.40839684
w1d2t3,0.1,30000,282705658.75688475,288848169.5770808
w1d2t4,0.1,30000,282701403.0476886,288921476.17623943
w1d3t1,0.1,1000000,120358235.52766573,115356210.86090119
w1d3t2,0.1,1000000,120334345.10231584,115369228.94972366
w1d3t3,0.1,1000000,120310299.97162573,115588297.2422978
w1d3t4,0.1,1000000,120306825.49581501,115609089.48794918
w1d4t1,0.1,1000000,125134724.48544326,119897981.76628664
w1d4t2,0.1,1000000,125111859.89740711,119906053.60506044
w1d4t3,0.1,1000000,125086900.60617685,120134660.11727613
w1d4t4,0.1,1000000,125083902.27261043,120155909.21289246
w2d1t1,0.1,3000,868986835.5603378,927073346.3702937
w2d1t2,0.1,3000,868968365.5974027,927419850.9088428
w2d1t3,0.1,3000,868950345.0256063,927560274.1517434
w2d1t4,0.1,3000,868943204.4988979,927628329.8289344
w2d2t1,0.1,30000,169214474.2563086,181404091.5582083
w2d2t2,0.1,30000,169213131.5361756,181367329.7555227
w2d2t3,0.1,30000,169210906.92819682,181384157.68829417
w2d2t4,0.1,30000,169205848.70060146,181422542.64353502
w2d3t1,0.1,1000000,7041778.54464115,7328710.0893254215
w2d3t2,0.1,1000000,7026391.136490528,7306098.9750284115
w2d3t3,0.1,1000000,7026337.818161861,7306674.612450302
w2d3t4,0.1,1000000,7026287.136635031,7308373.915031788
w2d4t1,0.1,1000000,11753242.618164608,12193250.163721781
w2d4t2,0.1,1000000,11738674.747248486,12167571.631323643
w2d4t3,0.1,1000000,11738572.215955317,12168714.351684019
w2d4t4,0.1,1000000,11738326.686223447,12170990.114251703
w3d1t1,0.1,30000,868925046.8097267,927763572.6343114
w3d1t2,0.1,30000,868907085.2805878,928099619.015868
w3d1t3,0.1,30000,868872314.0211538,928386969.8942889
w3d1t4,0.1,30000,868875399.8700134,928360198.4533967
w3d2t1,0.1,100000,169200265.25871506,181531192.44525495
w3d2t2,0.1,100000,169198856.9170191,181494172.5862837
w3d2t3,0.1,100000,169196456.17059737,181516733.6110524
w3d2t4,0.1,100000,169186378.5394989,181576356.26923922
w3d3t1,0.1,1000000,7041766.255583741,7328833.662639861
w3d3t2,0.1,1000000,7026385.338747164,7306170.137248419
w3d3t3,0.1,1000000,7026332.605894424,7306738.784550199
w3d3t4,0.1,1000000,7026284.731389411,7308438.4162948
w3d4t1,0.1,1000000,11753233.887060594,12193316.460121797
w3d4t2,0.1,1000000,11738669.158276252,12167601.004559828
w3d4t3,0.1,1000000,11738567.211571012,12168737.59554023
w3d4t4,0.1,1000000,11738322.452452727,12171012.882109195
w4d1t1,0.1,30000,868909554.7330368,927908596.655306
w4d1t2,0.1,30000,868891748.1598121,928243862.421057
w4d1t3,0.1,30000,868856936.6456727,928534904.124992
w4d1t4,0.1,30000,868860142.1347238,928506178.8200786
w4d2t1,0.1,30000,169222004.05045673,181652587.27992678
w4d2t2,0.1,30000,169220545.20389163,181615079.77284408
w4d2t3,0.1,30000,169218140.38894042,181634546.5852368
w4d2t4,0.1,30000,169212751.1643871,181675267.35079026
w4d3t1,0.1,1000000,7040300.799127765,7340486.832386485
w4d3t2,0.1,1000000,7024947.618032981,7317596.790477869
w4d3t3,0.1,1000000,7024894.999840711,7318165.512180075
w4d3t4,0.1,1000000,7024863.220498252,7319707.1468469305
w4d4t1,0.1,1000000,11750889.293029925,12213433.20338487
w4d4t2,0.1,1000000,11736357.03556483,12187424.487837268
w4d4t3,0.1,1000000,11736255.245478977,12188561.147147264
w4d4t4,0.1,1000000,11736027.759808322,12190645.990651764
