name,alpha,max_iter,lambda,J_train,J_cross
w1d1t1,0.1,3000,0,1000386084.2068751,983064667.3756063
w1d1t1,0.1,3000,0.2,1000951549.5911527,983069761.350857
w1d1t1,0.1,3000,0.4,1001516938.0663736,983074932.0630023
w1d1t1,0.1,3000,0.6,1002082249.6482338,983080179.480576
w1d1t1,0.1,3000,0.8,1002647484.3524208,983085503.5721229
w1d1t1,0.1,3000,1,1003212642.1946235,983090904.3062043
w1d1t2,0.1,3000,0,1000354029.1287031,982975444.3524559
w1d1t2,0.1,3000,0.2,1000919534.9084669,982980443.3616773
w1d1t2,0.1,3000,0.4,1001484963.5800613,982985519.5662615
w1d1t2,0.1,3000,0.6,1002050315.1606874,982990672.9300798
w1d1t2,0.1,3000,0.8,1002615589.6675282,982995903.4170753
w1d1t2,0.1,3000,1,1003180787.1177467,983001210.9912612
w1d1t3,0.1,3000,0,1000315660.2371306,983047523.1969752
w1d1t3,0.1,3000,0.2,1000882085.8803661,983051641.5604895
w1d1t3,0.1,3000,0.4,1001448409.8263679,983055850.035514
w1d1t3,0.1,3000,0.6,1002014632.8172419,983060148.3572482
w1d1t3,0.1,3000,0.8,1002580755.5722159,983064536.2655219
w1d1t3,0.1,3000,1,1003146778.788399,983069013.5046952
w1d1t4,0.1,3000,0,1000270246.3883138,983152002.9836017
w1d1t4,0.1,3000,0.2,1000837227.4579663,983154933.2697867
w1d1t4,0.1,3000,0.4,1001404097.1668701,983157973.3675753
w1d1t4,0.1,3000,0.6,1001970856.4655478,983161122.6119709
w1d1t4,0.1,3000,0.8,1002537506.2765465,983164380.3518883
w1d1t4,0.1,3000,1,1003104047.4953223,983167745.9498134
w1d2t1,0.1,30000,0,283952287.764041,286447417.1789337
w1d2t1,0.1,30000,0.2,291136587.1057355,286410537.67817146
w1d2t1,0.1,30000,0.4,298201557.4303705,286490755.93168706
w1d2t1,0.1,30000,0.6,305150392.3911748,286681851.76992923
w1d2t1,0.1,30000,0.8,311986172.61395204,286977933.4235439
w1d2t1,0.1,30000,1,318711870.65348184,287373418.41688204
w1d2t2,0.1,30000,0,283944726.5458349,286416335.913827
w1d2t2,0.1,30000,0.2,291128829.9104505,286379198.15611637
w1d2t2,0.1,30000,0.4,298193605.83252645,286459161.5522584
w1d2t2,0.1,30000,0.6,305142248.00233525,286650005.64431655
w1d2t2,0.1,30000,0.8,311977837.07837856,286945838.39831096
w1d2t2,0.1,30000,1,318703345.64411443,287341077.0958232
